date,time,latitude,longitude,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_72h,river_level,river_level_lag1,river_level_lag3,river_level_lag6,river_level_lag12,river_discharge,temperature,humidity,pressure,wind_speed,elevation,distance_from_river,historical_flood_count,population,flood_probability,flood_risk
2020-01-01,00:00:00,16.1,80.65,4.67,8.61,21.88,36.28,67.21,163.6,7.111,7.111,7.111,7.111,7.111,34493.45,25.74,71.01,997.81,10.43,18.2,2.1,5,12450,0.0335,LOW
2020-01-01,06:00:00,16.14,80.71,1.38,1.38,3.33,3.33,3.33,26.11,6.7,7.111,7.111,7.111,7.111,11761.62,25.68,87.66,1006.9,5.41,21.4,3.7,3,8320,0.01,LOW
2020-01-01,12:00:00,16.18,80.75,3.59,13.15,21.51,31.83,48.97,108.66,6.478,6.7,6.7,6.7,6.7,27987.62,29.33,78.61,1000.78,8.86,14.7,1.2,9,15620,0.0262,LOW
2020-01-01,18:00:00,16.22,80.8,6.57,10.18,21.28,42.02,65.93,198.84,6.629,6.478,7.111,7.111,7.111,39054.01,26.83,82.39,1009.73,11.79,12.8,2.8,6,19850,0.0272,LOW
2020-01-02,00:00:00,16.28,80.84,9.18,31.22,60.44,89.29,121.04,400.84,7.43,6.629,6.7,6.7,6.7,55947.68,28.1,83.5,1007.85,8.84,25.1,5.4,8,9130,0.141,LOW
2020-01-02,06:00:00,16.34,80.9,2.3,5.79,5.79,11.29,21.15,49.24,6.624,7.43,6.478,6.478,6.478,19295.63,31.15,77.6,1007.85,7.86,19.3,3.1,12,14670,0.01,LOW
2020-01-02,12:00:00,16.4,80.96,2.46,8.74,20.51,36.9,81.82,213.35,7.107,6.624,6.629,7.111,7.111,42477.18,25.06,77.01,1005.22,10.36,11.9,1.6,6,22100,0.0648,LOW
2020-01-02,18:00:00,16.46,81.02,5.28,8.38,16.91,18.63,32.84,109.32,6.811,7.107,7.43,6.7,6.7,24691.95,27.5,84.39,1001.32,8.51,28.4,6.2,4,7650,0.01,LOW
2020-01-03,00:00:00,16.52,81.08,4.76,13.58,22.75,26.92,58.94,184.99,6.935,6.811,6.624,6.478,6.478,34633.71,28.62,70.82,1004.32,5.22,16.5,2.4,9,17400,0.0401,LOW
2020-01-03,06:00:00,16.58,81.14,1.11,2.74,10.64,17.24,59.71,165.4,6.806,6.935,7.107,6.629,6.629,34005.47,28.38,71.41,1003.2,9.26,22.7,4.1,7,10900,0.0308,LOW
